timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-09-26T0600,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,16,16,20,11,8,2,2,NA,NA,2,3,5,4,0.5,0.5
2026-09-26T0600,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,12,12,10,6,6,4,4,NA,NA,1,2,4,4,0.4,0.4
2026-09-26T0600,2695A,80.2899,41.1684,阿克苏地区,电视台,,27,27,33,13,11,61,61,NA,NA,8,10,2,4,0.3,0.3
2026-09-26T0600,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,27,27,35,15,15,62,62,NA,NA,8,14,6,5,0.2,0.2
2026-09-26T0600,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,32,16,19,3,6,100,100,NA,NA,2,5,8,9,0.4,0.5
2026-09-26T0600,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,33,17,17,7,6,104,104,NA,NA,3,5,10,9,0.5,0.6
2026-09-26T0600,2708A,88.1266,47.8515,阿勒泰地区,市站,,14,NA,24,3,5,44,44,NA,NA,4,13,1,2,0.2,0.2
2026-09-26T0600,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,18,10,21,3,3,55,55,NA,NA,3,7,3,3,0.4,0.4
2026-09-26T0600,2630A,80.1171,32.4999,阿里地区,阿里监测站,,36,8,12,3,2,114,114,NA,NA,4,6,4,4,0.2,0.2
2026-09-26T0600,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,38,7,12,3,3,119,119,NA,NA,2,6,4,5,0.2,0.3
2026-09-26T0600,2644A,109.0088,32.6974,安康市,汉滨区检察院,,13,13,9,3,4,26,26,NA,NA,9,13,2,3,0.8,0.9
2026-09-26T0600,4054A,109.0324,32.6913,安康市,市邮政管理局,,11,11,9,6,5,19,19,NA,NA,10,12,2,3,1.0,1.1
2026-09-26T0600,2291A,117.0806,30.5181,安庆市,环科院,细颗粒物(PM2.5),56,NA,46,38,34,52,52,NA,NA,5,18,5,6,0.8,0.8
2026-09-26T0600,2292A,117.0331,30.5118,安庆市,马山宾馆,细颗粒物(PM2.5),72,NA,41,46,34,49,49,NA,NA,9,21,5,6,0.9,1
2026-09-26T0600,2294A,116.9897,30.6146,安庆市,安庆大学,NA,NA,NA,39,36,35,34,34,NA,NA,10,12,NA,4,0.6,0.8
2026-09-26T0600,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),58,NA,40,39,32,41,41,NA,NA,9,15,6,7,0.9,0.9
2026-09-26T0600,3123A,105.9408,26.2431,安顺市,凤凰山,,26,26,23,11,18,72,72,NA,NA,3,3,6,6,0.6,0.6
2026-09-26T0600,3124A,105.9443,26.2567,安顺市,金钟山,,25,24,25,13,19,78,78,NA,NA,3,3,6,6,0.4,0.4
2026-09-26T0600,3125A,105.8983,26.248,安顺市,娄家坡,,22,17,20,12,18,69,69,NA,NA,2,3,6,6,0.5,0.5
2026-09-26T0600,1819A,114.3552,36.1017,安阳市,红庙街,细颗粒物(PM2.5),74,54,45,47,38,9,9,NA,NA,36,18,16,8,0.6,0.8
2026-09-26T0600,1820A,114.361,36.0681,安阳市,银杏小区,细颗粒物(PM2.5),68,59,49,44,39,8,8,NA,NA,41,22,12,14,1.1,1.3
2026-09-26T0600,3141A,114.3921,36.0879,安阳市,信访局,细颗粒物(PM2.5),70,62,47,45,40,7,7,NA,NA,38,18,4,6,0.5,0.7
2026-09-26T0600,3669A,114.4706,36.0634,安阳市,左辅环卫站,"颗粒物(PM10),细颗粒物(PM2.5)",60,63,70,40,42,7,7,NA,NA,30,25,7,8,0.4,0.5
