时间,鸿旺,欧伦
2026-08-31 00:00:00,0.0,0.0
2026-08-31 00:15:00,0.0,0.0
2026-08-31 00:30:00,0.0,0.0
2026-08-31 00:45:00,0.0,0.0
2026-08-31 01:00:00,0.0,0.0
2026-08-31 01:15:00,0.0,0.0
2026-08-31 01:30:00,0.0,0.0
2026-08-31 01:45:00,0.0,0.0
2026-08-31 02:00:00,0.0,0.0
2026-08-31 02:15:00,0.0,0.0
2026-08-31 02:30:00,0.0,0.0
2026-08-31 02:45:00,0.0,0.0
2026-08-31 03:00:00,0.0,0.0
2026-08-31 03:15:00,0.0,0.0
2026-08-31 03:30:00,0.0,0.0
2026-08-31 03:45:00,0.0,0.0
2026-08-31 04:00:00,0.0,0.0
2026-08-31 04:15:00,0.0,0.0
2026-08-31 04:30:00,0.0,0.0
2026-08-31 04:45:00,0.0,0.0
2026-08-31 05:00:00,0.0,0.0
2026-08-31 05:15:00,9e-05,5e-05
2026-08-31 05:30:00,0.00259,0.0024
2026-08-31 05:45:00,0.01381,0.01364
2026-08-31 06:00:00,0.02265,0.02354
2026-08-31 06:15:00,0.0817,0.08425
2026-08-31 06:30:00,0.19046,0.23303
2026-08-31 06:45:00,0.16183,0.19038
2026-08-31 07:00:00,0.15783,0.16131
2026-08-31 07:15:00,0.17106,0.19177
2026-08-31 07:30:00,0.32441,0.30553
2026-08-31 07:45:00,0.41005,0.44616
2026-08-31 08:00:00,0.4128,0.40767
2026-08-31 08:15:00,0.52042,0.52802
2026-08-31 08:30:00,0.64017,0.65061
2026-08-31 08:45:00,0.78934,0.79488
2026-08-31 09:00:00,0.88348,0.87772
2026-08-31 09:15:00,0.87979,0.91424
2026-08-31 09:30:00,0.97142,0.85849
2026-08-31 09:45:00,0.96333,0.99843
2026-08-31 10:00:00,1.08961,1.05072
2026-08-31 10:15:00,1.08943,1.06599
2026-08-31 10:30:00,0.55586,0.6027
2026-08-31 10:45:00,1.1761,1.17181
2026-08-31 11:00:00,1.23999,1.19977
2026-08-31 11:15:00,0.86015,0.85433
2026-08-31 11:30:00,1.18698,1.08221
2026-08-31 11:45:00,1.05,0.85243
2026-08-31 12:00:00,1.1402,0.91766
2026-08-31 12:15:00,0.85572,0.83684
2026-08-31 12:30:00,0.94752,0.73783
2026-08-31 12:45:00,0.25961,0.25079
2026-08-31 13:00:00,0.27208,0.25457
2026-08-31 13:15:00,0.34371,0.31326
2026-08-31 13:30:00,1.21289,0.93908
2026-08-31 13:45:00,1.00682,0.62075
2026-08-31 14:00:00,0.47912,0.36173
2026-08-31 14:15:00,0.16521,0.16341
2026-08-31 14:30:00,0.20453,0.2093
2026-08-31 14:45:00,0.25217,0.23152
2026-08-31 15:00:00,0.22768,0.2229
2026-08-31 15:15:00,0.36148,0.34474
2026-08-31 15:30:00,0.25703,0.24353
2026-08-31 15:45:00,0.21864,0.21217
2026-08-31 16:00:00,0.19351,0.18748
2026-08-31 16:15:00,0.08842,0.0886
2026-08-31 16:30:00,0.16169,0.15518
2026-08-31 16:45:00,0.13984,0.13501
2026-08-31 17:00:00,0.08529,0.08448
2026-08-31 17:15:00,0.06681,0.06587
2026-08-31 17:30:00,0.04298,0.04192
2026-08-31 17:45:00,0.03623,0.03568
2026-08-31 18:00:00,0.01733,0.01671
2026-08-31 18:15:00,0.00356,0.00301
2026-08-31 18:30:00,0.00043,0.00032
2026-08-31 18:45:00,0.00022,0.00024
2026-08-31 19:00:00,0.00014,0.00022
2026-08-31 19:15:00,0.0,0.0
2026-08-31 19:30:00,0.0,0.0
2026-08-31 19:45:00,0.0,0.0
2026-08-31 20:00:00,0.0,0.0
2026-08-31 20:15:00,0.0,0.0
2026-08-31 20:30:00,0.0,0.0
2026-08-31 20:45:00,0.0,0.0
2026-08-31 21:00:00,0.0,0.0
2026-08-31 21:15:00,0.0,0.0
2026-08-31 21:30:00,0.0,0.0
2026-08-31 21:45:00,0.0,0.0
2026-08-31 22:00:00,0.0,0.0
2026-08-31 22:15:00,0.0,0.0
2026-08-31 22:30:00,0.0,0.0
2026-08-31 22:45:00,0.0,0.0
2026-08-31 23:00:00,0.0,0.0
2026-08-31 23:15:00,0.0,0.0
2026-08-31 23:30:00,0.0,0.0
2026-08-31 23:45:00,,
