,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,330803,55,28.9844,优,--,61,9,52,优,#00E400,#00E400,6,衢州三中（市）,#00E400,18,优,优,良,330800,#00E400,118.9628,#00E400,10,优,0.7,优,#00E400,#FFFF00,330803704,良,#00E400,衢州市,#00E400,优,16,48,#FFFF00,1,2026-06-04 01:00:00
1,优,330824,63,29.1343,优,--,36,7,56,优,#00E400,#00E400,6,开化气象局,#00E400,20,优,优,优,330800,#00E400,118.402,#00E400,2,优,0.3,优,#00E400,#00E400,330824001,优,#00E400,衢州市,#00E400,优,9,21,#00E400,2,2026-06-04 01:00:00
2,优,331126,56,27.629585,优,--,29,6,34,优,#00E400,#00E400,4,庆元监测楼,#00E400,20,优,优,优,331100,#00E400,119.054809,#00E400,11,优,0.5,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,20,22,#00E400,2,2026-06-04 01:00:00
3,优,330723,62,28.9178,优,--,66,11,76,优,#00E400,#00E400,7,武义北岭幼儿园,#00E400,20,优,优,良,330700,#00E400,119.8022,#00E400,12,优,0.7,优,#00E400,#FFFF00,330723003,良,#00E400,金华市,#00E400,优,20,46,#FFFF00,2,2026-06-04 01:00:00
4,优,330824,67,29.1478,优,--,35,8,50,优,#00E400,#00E400,9,开化监测大楼,#00E400,21,优,优,优,330800,#00E400,118.4108,#00E400,4,优,0.4,优,#00E400,#00E400,330824002,优,#00E400,衢州市,#00E400,优,8,26,#00E400,5,2026-06-04 01:00:00
5,优,331024,46,28.8589,优,--,50,17,79,优,#00E400,#00E400,7,仙居环监站,#00E400,21,优,优,优,331000,#00E400,120.7248,#00E400,13,优,0.9,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,21,31,#00E400,5,2026-06-04 01:00:00
6,优,330381,68,27.782284,优,--,38,11,83,优,#00E400,#00E400,8,安阳新区,#00E400,22,优,优,优,330300,#00E400,120.650915,#00E400,2,优,0.6,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,3,22,#00E400,7,2026-06-04 01:00:00
7,优,331121,28,28.1094,优,--,47,7,58,优,#00E400,#00E400,4,青田中学,#00E400,22,优,优,优,331100,#00E400,120.3161,#00E400,12,优,0.6,优,#00E400,#00E400,331121002,优,#00E400,丽水市,#00E400,优,22,29,#00E400,7,2026-06-04 01:00:00
8,优,331126,46,27.6211,优,--,29,5,44,优,#00E400,#00E400,5,庆元气象局,#00E400,22,优,优,优,331100,#00E400,119.0788,#00E400,15,优,0.7,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,21,23,#00E400,7,2026-06-04 01:00:00
9,优,331083,67,28.12715,优,--,30,3,82,优,#00E400,#00E400,9,玉环环监站,#00E400,23,优,优,优,331000,#00E400,121.2339,#00E400,16,优,0.6,优,#00E400,#00E400,331021001,优,#00E400,台州市,#00E400,优,23,23,#00E400,10,2026-06-04 01:00:00
