,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,27,30.28,优,--,26,#00E400,优,#00E400,7,杭州市,40,优,优,330100,#00E400,120.15,#00E400,28,优,0.6,优,#00E400,330100,#00E400,杭州市,#00E400,优,32,2026-09-14 07:00:00
1,77,29.88,优,--,14,#00E400,优,#00E400,8,宁波市,25,优,优,330200,#00E400,121.55,#00E400,8,优,0.6,优,#00E400,330200,#00E400,宁波市,#00E400,优,23,2026-09-14 07:00:00
2,33,28,优,--,22,#00E400,优,#00E400,6,温州市,40,优,优,330300,#00E400,120.7,#00E400,28,优,0.5,优,#00E400,330300,#00E400,温州市,#00E400,优,30,2026-09-14 07:00:00
3,37,30.75,优,--,31,#00E400,优,#00E400,6,嘉兴市,38,优,优,330400,#00E400,120.75,#00E400,26,优,0.4,优,#00E400,330400,#00E400,嘉兴市,#00E400,优,35,2026-09-14 07:00:00
4,36,30.9,优,--,33,#00E400,优,#00E400,8,湖州市,35,优,优,330500,#00E400,120.08,#00E400,24,优,0.5,优,#00E400,330500,#00E400,湖州市,#00E400,优,31,2026-09-14 07:00:00
5,31,30,优,--,26,#00E400,优,#00E400,6,绍兴市,43,优,优,330600,#00E400,120.57,#00E400,30,优,0.6,优,#00E400,330600,#00E400,绍兴市,#00E400,优,42,2026-09-14 07:00:00
6,61,29.08,优,--,28,#00E400,优,#00E400,5,金华市,45,优,优,330700,#00E400,119.65,#00E400,26,优,0.6,优,#00E400,330700,#00E400,金华市,#00E400,优,45,2026-09-14 07:00:00
7,83,28.93,优,PM₂.₅,23,#FFFF00,优,#FFFF00,6,衢州市,66,优,良,330800,#00E400,118.87,#00E400,43,良,0.9,良,#00E400,330800,#FFFF00,衢州市,#00E400,优,58,2026-09-14 07:00:00
8,84,30,优,--,7,#00E400,优,#00E400,7,舟山市,27,优,优,330900,#00E400,122.2,#00E400,9,优,0.6,优,#00E400,330900,#00E400,舟山市,#00E400,优,17,2026-09-14 07:00:00
9,38,28.68,优,--,14,#00E400,优,#00E400,8,台州市,26,优,优,331000,#00E400,121.43,#00E400,18,优,0.7,优,#00E400,331000,#00E400,台州市,#00E400,优,24,2026-09-14 07:00:00
10,40,28.45,优,--,19,#00E400,优,#00E400,6,丽水市,42,优,优,331100,#00E400,119.92,#00E400,29,优,0.6,优,#00E400,331100,#00E400,丽水市,#00E400,优,36,2026-09-14 07:00:00
